-0.000654026	-0.000654026	-0.000654026	
6.26042e-05	6.26042e-05	6.26042e-05	
0.000664821	0.000664821	0.000664821	
0.00277073	0.00277073	0.00277073	
-0.416028	-0.416028	-0.416028	
-0.042817	-0.042817	-0.042817	
0.000199627	0.000199627	0.000199627	
-0.0164037	-0.0164037	-0.0164037	
0.00414113	0.00414113	0.00414113	
-0.000104811	-0.000104811	-0.000104811	
-0.0163859	-0.0163859	-0.0163859	
-0.000115002	-0.000115002	-0.000115002	
-0.00404774	-0.00404774	-0.00404774	
-0.00257784	-0.00257784	-0.00257784	
