21.33	61.93	20.39	3.037	4.45	0.107	0.212	4.55	188.13	1.608	38.23	4.88	1.809	0.238	7.6	20.5	34.28	44.57	50.24	45.62	27.66	23.35	1.185	0.208	1	
29.26	80.13	14.65	5.47	4.37	0.075	0.217	4.11	238.32	3.449	54.51	9.71	4.056	0.213	19	45.6	21.18	85.5	60.15	38.14	29.23	23.82	1.227	0.095	1	
19.65	69.25	25.74	2.69	2.479	0.082	0.104	4.23	167.84	2.078	36.54	6.17	1.978	0.236	8.38	26.1	55.14	122.09	60.55	30.15	24.05	17.39	1.383	0.193	1	
18.05	63.28	14.69	4.308	4.62	0.048	0.106	4.03	189.34	2.538	40.25	5.57	2.311	0.208	11.1	26.8	60	144.5	36.11	26.02	26.56	21.72	1.223	0.153	1	
15.73	64.19	11.73	5.472	3.41	0.092	0.147	3.89	206.84	2.556	32.65	5.32	1.505	0.308	4.89	17.3	44.28	61.22	24.33	26.73	43.81	20.32	2.156	0.29	1	
22.48	79.04	9.55	8.28	3.98	0.048	0.105	3.06	210.34	2.07	43.47	6.97	1.724	0.109	15.8	63.9	48.28	34.18	43.61	49.42	14.03	15.54	0.9028	0.112	1	
19.85	64.81	12.97	4.997	4.87	0.039	0.094	4.43	195.74	1.709	44.26	7.45	1.993	0.084	24	89	32.37	39.76	48.91	37.31	18.59	21.42	0.8679	0.078	1	
27.97	66.24	15.83	4.184	3.025	0.068	0.132	5.22	228.52	3.632	44.14	8.99	2.087	0.087	24	100	17.27	31.35	37.54	23.81	25.44	21.67	1.174	0.077	1	
19.32	85.11	18.44	4.616	2.631	0.109	0.126	4.49	174.45	2.337	36.16	5.41	2.781	0.129	21.6	41.9	33.65	102.42	38.24	37.24	31.87	25.61	1.244	0.0849	1	
24.49	82.45	12.18	6.769	3.967	0.053	0.174	6.46	192.26	2.875	38.64	7.06	2.177	0.098	22	72	16.64	105.38	54.86	53.44	17.49	17.88	0.9782	0.083	1	
17.95	59.27	22.16	2.675	3.059	0.073	0.115	4.62	197.81	2.016	27.82	6.03	1.855	0.071	26	85	28.45	61.08	75.34	38.49	17.57	23.07	0.7616	0.071	1	
18.03	54.11	19.03	2.843	3.57	0.087	0.152	5.72	183.04	1.358	39.46	5.12	1.554	0.173	8.98	29.6	73.63	89.14	40.53	41.85	21.73	20.34	1.068	0.182	1	
19.79	53.14	24.17	2.199	2.064	0.087	0.206	4.81	211.89	2.056	44.69	5.72	1.653	0.194	8.52	29.5	126.84	98.37	22.93	24.46	53.08	29.74	1.785	0.19	1	
21.97	56.09	8.51	6.59	3.99	0.107	0.042	4.11	197.62	2.944	33.64	7.95	2.445	0.234	10.4	34	37.29	81.06	54.96	43.91	30.61	21.39	1.431	0.161	1	
19.54	54.32	21.83	2.488	4.71	0.053	0.087	4.17	193.51	2.435	40.09	4.23	1.807	0.155	11.7	27.3	21.18	96	55.26	40.48	25.28	22.43	1.127	0.146	1	
